row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,region,category,sub-category,product_name,sales,quantity,discount,profit
52,Ca-2015-115742,2015-04-18,2015-04-22,Standard Class,Dp-13000,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568
53,Ca-2015-115742,2015-04-18,2015-04-22,Standard Class,Dp-13000,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981
54,Ca-2016-105816,2016-11-12,2016-12-17,Standard Class,Jm-15265,Janet Molinari,Corporate,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566
55,Ca-2016-105816,2016-11-12,2016-12-17,Standard Class,Jm-15265,Janet Molinari,Corporate,New York City,New York,East,Technology,Phones,At&T Cl83451 4-Handset Telephone,1029.95,5,0.0,298.6855
56,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14
57,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552
58,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
59,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888
60,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,Troy,New York,East,Technology,Accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3
61,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362
62,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84
63,Ca-2015-135545,2015-11-24,2015-11-30,Standard Class,Km-16720,Kunst Miller,Consumer,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512
64,Ca-2015-135545,2015-11-24,2015-11-30,Standard Class,Km-16720,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Binders,"Acco Presstex Data Binder With Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
65,Ca-2015-135545,2015-11-24,2015-11-30,Standard Class,Km-16720,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631
66,Ca-2015-135545,2015-11-24,2015-11-30,Standard Class,Km-16720,Kunst Miller,Consumer,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328
67,Us-2015-164175,2015-04-30,2015-05-05,Standard Class,Ps-18970,Paul Stevenson,Home Office,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager'S Chair, Gray",213.115,5,0.3,-15.2225
68,Ca-2014-106376,2014-05-12,2014-10-12,Standard Class,Bs-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,Office Supplies,Art,"Hunt Boston Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
69,Ca-2014-106376,2014-05-12,2014-10-12,Standard Class,Bs-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,Technology,Phones,Nettalk Duo Voip Telephone Service,167.968,4,0.2,62.988
70,Ca-2016-119823,2016-04-06,2016-06-06,First Class,Kd-16270,Karen Daniels,Consumer,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636
71,Ca-2016-106075,2016-09-18,2016-09-23,Standard Class,Hm-14980,Henry Macallister,Consumer,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
72,Ca-2017-114440,2017-09-14,2017-09-17,Second Class,Tb-21520,Tracy Blumstein,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books With Fax/Mobile Section, 5 1/2"" X 3 3/16""",19.05,3,0.0,8.763
73,Us-2015-134026,2015-04-26,2015-02-05,Standard Class,Je-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Manager'S Chair,831.936,8,0.2,-114.3912
74,Us-2015-134026,2015-04-26,2015-02-05,Standard Class,Je-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats For Medium Pile Carpet, Standard Lip, 36"" X 48""",97.04,2,0.2,1.213
75,Us-2015-134026,2015-04-26,2015-02-05,Standard Class,Je-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
76,Us-2017-118038,2017-09-12,2017-11-12,First Class,Kb-16600,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
77,Us-2017-118038,2017-09-12,2017-11-12,First Class,Kb-16600,Ken Brennan,Corporate,Houston,Texas,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
78,Us-2017-118038,2017-09-12,2017-11-12,First Class,Kb-16600,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Storage,"Simplifile Personal File, Black Granite, 15W X 6-15/16D X 11-1/4H",27.24,3,0.2,2.724
79,Us-2014-147606,2014-11-26,2014-01-12,Second Class,Je-15745,Joel Eaton,Consumer,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
80,Ca-2016-127208,2016-12-06,2016-06-15,First Class,Sc-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032
81,Ca-2016-127208,2016-12-06,2016-06-15,First Class,Sc-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty Ezd  Binder With Locking Rings,16.74,3,0.0,8.0352
82,Ca-2014-139451,2014-12-10,2014-10-16,Standard Class,Dn-13690,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 By Central Association For The Blind",14.9,5,0.0,4.172
83,Ca-2014-139451,2014-12-10,2014-10-16,Standard Class,Dn-13690,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031
84,Ca-2015-149734,2015-03-09,2015-08-09,Standard Class,Jc-16105,Julie Creighton,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
85,Us-2017-119662,2017-11-13,2017-11-16,First Class,Cs-12400,Christopher Schild,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
86,Ca-2017-140088,2017-05-28,2017-05-30,Second Class,Po-18865,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156
87,Ca-2017-155558,2017-10-26,2017-02-11,Standard Class,Pg-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Technology,Accessories,Logitech Ls21 Speaker System - Pc Multimedia - 2.1-Ch - Wired,19.99,1,0.0,6.7966
88,Ca-2017-155558,2017-10-26,2017-02-11,Standard Class,Pg-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568
89,Ca-2016-159695,2016-05-04,2016-10-04,Second Class,Gm-14455,Gary Mitchum,Home Office,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
90,Ca-2016-109806,2016-09-17,2016-09-22,Standard Class,Js-15685,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder With Pocket Clip,20.1,3,0.0,6.633
91,Ca-2016-109806,2016-09-17,2016-09-22,Standard Class,Js-15685,Jim Sink,Corporate,Los Angeles,California,West,Technology,Phones,Panasonic Kx-Ts550,73.584,2,0.2,8.2782
92,Ca-2016-109806,2016-09-17,2016-09-22,Standard Class,Js-15685,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104
93,Ca-2015-149587,2015-01-31,2015-05-02,Second Class,Kb-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208
94,Ca-2015-149587,2015-01-31,2015-05-02,Second Class,Kb-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354
95,Ca-2015-149587,2015-01-31,2015-05-02,Second Class,Kb-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504
96,Us-2017-109484,2017-06-11,2017-12-11,Standard Class,Rb-19705,Roger Barcio,Home Office,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
97,Ca-2017-161018,2017-09-11,2017-11-11,Second Class,Pn-18775,Parhena Norris,Home Office,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426
98,Ca-2017-157833,2017-06-17,2017-06-20,First Class,Kd-16345,Katherine Ducich,Consumer,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
99,Ca-2016-149223,2016-06-09,2016-11-09,Standard Class,Er-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852
100,Ca-2016-158568,2016-08-29,2016-02-09,Standard Class,Rb-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
101,Ca-2016-158568,2016-08-29,2016-02-09,Standard Class,Rb-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,Technology,Accessories,Sandisk Ultra 64 Gb Microsdhc Class 10 Memory Card,95.976,3,0.2,-10.7973
102,Ca-2016-158568,2016-08-29,2016-02-09,Standard Class,Rb-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers For Binding Systems,1.788,3,0.8,-3.0396
103,Ca-2016-129903,2016-01-12,2016-04-12,Second Class,Gz-14470,Gary Zandusky,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. And 87 Bright),23.92,4,0.0,11.7208
104,Us-2015-156867,2015-11-13,2015-11-17,Standard Class,Lc-16870,Lena Cacioppo,Consumer,Aurora,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
105,Us-2015-156867,2015-11-13,2015-11-17,Standard Class,Lc-16870,Lena Cacioppo,Consumer,Aurora,Colorado,West,Furniture,Furnishings,"Deflect-O Duramat Lighweight, Studded, Beveled Mat For Low Pile Carpeting",102.36,3,0.2,-3.8385
106,Us-2015-156867,2015-11-13,2015-11-17,Standard Class,Lc-16870,Lena Cacioppo,Consumer,Aurora,Colorado,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 Sheets",36.882,3,0.7,-25.8174
107,Ca-2017-119004,2017-11-23,2017-11-28,Standard Class,Jm-15250,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Accessories,Memorex Mini Travel Drive 8 Gb Usb 2.0 Flash Drive,74.112,8,0.2,17.6016
108,Ca-2017-119004,2017-11-23,2017-11-28,Standard Class,Jm-15250,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
109,Ca-2017-119004,2017-11-23,2017-11-28,Standard Class,Jm-15250,Janet Martin,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738
110,Ca-2015-129476,2015-10-15,2015-10-20,Standard Class,Pa-19060,Pete Armstrong,Home Office,Orland Park,Illinois,Central,Technology,Accessories,Logitech Gaming G510S - Keyboard,339.96,5,0.2,67.992
111,Ca-2017-146780,2017-12-25,2017-12-30,Standard Class,Cv-12805,Cynthia Voltz,Corporate,New York City,New York,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.9096
112,Ca-2016-128867,2016-03-11,2016-10-11,Standard Class,Cl-12565,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,"Hunt Powerhouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.788
113,Ca-2016-128867,2016-03-11,2016-10-11,Standard Class,Cl-12565,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0.0,13.3476
114,Ca-2014-115259,2014-08-25,2014-08-27,Second Class,Rc-19960,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,"Oic Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348
115,Ca-2014-115259,2014-08-25,2014-08-27,Second Class,Rc-19960,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 X 9 1/2",4.72,2,0.2,1.652
116,Ca-2014-115259,2014-08-25,2014-08-27,Second Class,Rc-19960,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925
117,Ca-2014-115259,2014-08-25,2014-08-27,Second Class,Rc-19960,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316
118,Ca-2015-110457,2015-02-03,2015-06-03,Standard Class,Dk-13090,Dave Kipp,Consumer,Seattle,Washington,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.3813
119,Us-2015-136476,2015-05-04,2015-10-04,Standard Class,Gg-14650,Greg Guthrie,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,Gbc Docubind 300 Electric Binding Machine,157.794,1,0.7,-115.7156
120,Ca-2016-103730,2016-12-06,2016-06-15,First Class,Sc-20725,Steven Cartwright,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.3456
121,Ca-2016-103730,2016-12-06,2016-06-15,First Class,Sc-20725,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,Dxl Angle-View Binders With Locking Rings By Samsill,30.84,4,0.0,13.878
122,Ca-2016-103730,2016-12-06,2016-06-15,First Class,Sc-20725,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0.0,63.4368
